"Time stamp","Main 1   ()","Main 1 L1   ()","Main 1 L2   ()","Main 1 L3   ()"
"2021-08-06 00:00","0.9718","0.9723","0.9465","0.9966"
"2021-08-06 00:05","0.9714","0.9707","0.9473","0.9962"
"2021-08-06 00:10","0.9725","0.9731","0.9486","0.9959"
"2021-08-06 00:15","0.9761","0.9796","0.9526","0.9963"
"2021-08-06 00:20","0.9744","0.9763","0.9505","0.9964"
"2021-08-06 00:25","0.9707","0.9671","0.9487","0.9963"
"2021-08-06 00:30","0.9734","0.9752","0.9489","0.9962"
"2021-08-06 00:35","0.9725","0.9739","0.9496","0.9942"
"2021-08-06 00:40","0.9728","0.9736","0.9494","0.9955"
"2021-08-06 00:45","0.9733","0.9745","0.9491","0.9963"
"2021-08-06 00:50","0.9745","0.9763","0.951","0.9963"
"2021-08-06 00:55","0.971","0.967","0.9497","0.9964"
"2021-08-06 01:00","0.9683","0.9583","0.9504","0.9964"
"2021-08-06 01:05","0.9718","0.9715","0.948","0.9959"
"2021-08-06 01:10","0.9741","0.978","0.9484","0.9961"
"2021-08-06 01:15","0.974","0.9753","0.9501","0.9967"
"2021-08-06 01:20","0.9711","0.968","0.9489","0.9965"
"2021-08-06 01:25","0.9781","0.9737","0.9657","0.995"
"2021-08-06 01:30","0.979","0.9768","0.9662","0.9941"
"2021-08-06 01:35","0.9814","0.9844","0.9657","0.9941"
"2021-08-06 01:40","0.9815","0.9826","0.9678","0.9942"
"2021-08-06 01:45","0.9811","0.986","0.9633","0.9941"
"2021-08-06 01:50","0.9754","0.9843","0.948","0.994"
"2021-08-06 01:55","0.9728","0.976","0.9489","0.9936"
"2021-08-06 02:00","0.9717","0.9715","0.9501","0.9936"
"2021-08-06 02:05","0.9709","0.9694","0.9499","0.9936"
"2021-08-06 02:10","0.9739","0.9783","0.9499","0.9936"
"2021-08-06 02:15","0.976","0.9824","0.952","0.9938"
"2021-08-06 02:20","0.9738","0.976","0.952","0.9935"
"2021-08-06 02:25","0.9709","0.9678","0.9515","0.9936"
"2021-08-06 02:30","0.9722","0.9714","0.9517","0.9937"
"2021-08-06 02:35","0.9713","0.9701","0.9502","0.9936"
"2021-08-06 02:40","0.9727","0.9731","0.9514","0.9936"
"2021-08-06 02:45","0.9724","0.9746","0.9513","0.9915"
"2021-08-06 02:50","0.9473","0.9599","0.9236","0.9584"
"2021-08-06 02:55","0.8137","0.8344","0.9021","0.7047"
"2021-08-06 03:00","0.7944","0.8256","0.8965","0.6612"
"2021-08-06 03:05","0.8906","0.8121","0.8978","0.962"
"2021-08-06 03:10","0.9008","0.8239","0.8948","0.9838"
"2021-08-06 03:15","0.9095","0.8465","0.8989","0.9831"
"2021-08-06 03:20","0.9041","0.8314","0.8961","0.9849"
"2021-08-06 03:25","0.8573","0.8039","0.8946","0.8736"
"2021-08-06 03:30","0.8159","0.8261","0.8949","0.7269"
"2021-08-06 03:35","0.82","0.8406","0.8951","0.7244"
"2021-08-06 03:40","0.8542","0.8132","0.8949","0.8545"
"2021-08-06 03:45","0.9141","0.825","0.9315","0.9859"
"2021-08-06 03:50","0.9141","0.8122","0.9441","0.986"
"2021-08-06 03:55","0.9043","0.8302","0.8967","0.986"
"2021-08-06 04:00","0.8941","0.8335","0.8974","0.9514"
"2021-08-06 04:05","0.7983","0.8176","0.8989","0.6786"
"2021-08-06 04:10","0.7867","0.7973","0.8985","0.6644"
"2021-08-06 04:15","0.8267","0.8292","0.8983","0.7526"
"2021-08-06 04:20","0.8998","0.8165","0.8995","0.9836"
"2021-08-06 04:25","0.8922","0.7933","0.8995","0.9839"
"2021-08-06 04:30","0.9063","0.8391","0.896","0.9839"
"2021-08-06 04:35","0.8973","0.8115","0.8965","0.984"
