"Time stamp","Main 1   (V)","Main 1 L1   (V)","Main 1 L2   (V)","Main 1 L3   (V)"
"2021-08-06 00:00","253.31","252.68","253.38","253.88"
"2021-08-06 00:05","253.26","252.64","253.29","253.85"
"2021-08-06 00:10","252.21","251.66","252.19","252.8"
"2021-08-06 00:15","249.47","248.97","249.48","249.97"
"2021-08-06 00:20","251.16","250.56","251.18","251.74"
"2021-08-06 00:25","251.41","250.74","251.48","252.03"
"2021-08-06 00:30","251.55","250.99","251.59","252.08"
"2021-08-06 00:35","251.65","251.01","251.65","252.29"
"2021-08-06 00:40","251.51","250.83","251.63","252.08"
"2021-08-06 00:45","251.82","251.1","252.07","252.3"
"2021-08-06 00:50","252.28","251.67","252.47","252.72"
"2021-08-06 00:55","252.71","252.11","252.84","253.19"
"2021-08-06 01:00","252.7","252.13","252.78","253.2"
"2021-08-06 01:05","252.74","252.1","252.82","253.3"
"2021-08-06 01:10","252.61","252.05","252.71","253.08"
"2021-08-06 01:15","252.5","251.96","252.6","252.96"
"2021-08-06 01:20","252.61","252.08","252.67","253.1"
"2021-08-06 01:25","253.12","252.39","253.22","253.75"
"2021-08-06 01:30","253.3","252.54","253.35","254.01"
"2021-08-06 01:35","253.21","252.5","253.27","253.87"
"2021-08-06 01:40","253.14","252.56","253.13","253.73"
"2021-08-06 01:45","253.25","252.64","253.26","253.85"
"2021-08-06 01:50","253.43","252.67","253.56","254.08"
"2021-08-06 01:55","253.52","252.82","253.62","254.13"
"2021-08-06 02:00","252.5","251.82","252.57","253.12"
"2021-08-06 02:05","252.92","252.29","252.98","253.51"
"2021-08-06 02:10","252.43","251.69","252.56","253.05"
"2021-08-06 02:15","250.84","250.1","250.99","251.43"
"2021-08-06 02:20","250.43","249.74","250.58","250.99"
"2021-08-06 02:25","250.51","249.88","250.58","251.08"
"2021-08-06 02:30","250.76","250.08","250.86","251.35"
"2021-08-06 02:35","250.66","249.85","250.86","251.29"
"2021-08-06 02:40","250.89","250.04","251.11","251.53"
"2021-08-06 02:45","251.09","250.25","251.26","251.76"
"2021-08-06 02:50","250.99","250.18","251.09","251.72"
"2021-08-06 02:55","249.98","249.32","249.76","250.88"
"2021-08-06 03:00","251.53","250.88","251.33","252.38"
"2021-08-06 03:05","251.31","250.79","251.08","252.08"
"2021-08-06 03:10","251.34","250.85","251.16","252.02"
"2021-08-06 03:15","251.21","250.7","251.01","251.94"
"2021-08-06 03:20","251.12","250.64","250.88","251.85"
"2021-08-06 03:25","251.15","250.65","250.88","251.94"
"2021-08-06 03:30","251.13","250.58","250.86","251.97"
"2021-08-06 03:35","250.91","250.37","250.64","251.72"
"2021-08-06 03:40","250.86","250.27","250.63","251.7"
"2021-08-06 03:45","251.1","250.58","250.88","251.86"
"2021-08-06 03:50","251.11","250.58","250.89","251.87"
"2021-08-06 03:55","251.29","250.71","251.11","252.05"
"2021-08-06 04:00","252.03","251.47","251.81","252.81"
"2021-08-06 04:05","252.2","251.65","251.85","253.1"
"2021-08-06 04:10","252.11","251.57","251.76","253.01"
"2021-08-06 04:15","252.16","251.56","251.89","253.05"
"2021-08-06 04:20","252.08","251.58","251.84","252.84"
"2021-08-06 04:25","252.23","251.78","251.96","252.97"
"2021-08-06 04:30","252.26","251.84","251.96","252.98"
"2021-08-06 04:35","252.21","251.69","251.95","252.99"
"2021-08-06 04:40","252.25","251.71","252.03","253.02"
"2021-08-06 04:45","252.09","251.49","251.75","253.05"
"2021-08-06 04:50","251.96","251.27","251.72","252.9"
"2021-08-06 04:55","252.03","251.37","251.8","252.93"
"2021-08-06 05:00","251.47","250.88","251.2","252.34"
"2021-08-06 05:05","251.2","250.67","250.91","252.02"
"2021-08-06 05:10","251.17","250.63","250.91","251.98"
"2021-08-06 05:15","251.08","250.58","250.82","251.86"
"2021-08-06 05:20","250.98","250.45","250.7","251.79"
"2021-08-06 05:25","251.21","250.62","250.91","252.1"
"2021-08-06 05:30","251.33","250.79","251.0","252.2"
"2021-08-06 05:35","251.07","250.52","250.76","251.93"
"2021-08-06 05:40","250.85","250.28","250.61","251.68"
"2021-08-06 05:45","250.58","250.0","250.38","251.36"
"2021-08-06 05:50","250.16","249.56","249.98","250.96"
"2021-08-06 05:55","249.78","249.23","249.56","250.57"
"2021-08-06 06:00","249.11","248.63","248.82","249.88"
"2021-08-06 06:05","248.51","247.96","248.21","249.37"
"2021-08-06 06:10","250.45","249.84","250.17","251.34"
"2021-08-06 06:15","250.79","250.16","250.41","251.82"
"2021-08-06 06:20","250.77","250.05","250.44","251.83"
"2021-08-06 06:25","250.37","249.74","250.06","251.32"
"2021-08-06 06:30","250.35","249.75","250.02","251.29"
"2021-08-06 06:35","249.8","249.19","249.42","250.79"
"2021-08-06 06:40","249.68","249.06","249.35","250.65"
"2021-08-06 06:45","249.71","249.04","249.44","250.66"
"2021-08-06 06:50","249.71","248.99","249.35","250.81"
"2021-08-06 06:55","249.22","248.53","248.91","250.23"
"2021-08-06 07:00","251.93","251.19","251.59","253.03"
"2021-08-06 07:05","251.48","250.81","251.13","252.52"
"2021-08-06 07:10","250.43","249.69","250.16","251.44"
"2021-08-06 07:15","250.44","249.61","250.12","251.6"
"2021-08-06 07:20","250.37","249.63","250.0","251.48"
"2021-08-06 07:25","250.3","249.62","249.89","251.41"
"2021-08-06 07:30","250.06","249.41","249.58","251.19"
"2021-08-06 07:35","249.55","248.79","249.02","250.86"
"2021-08-06 07:40","249.51","248.68","249.04","250.83"
"2021-08-06 07:45","250.68","249.91","250.25","251.88"
"2021-08-06 07:50","250.21","249.57","249.69","251.38"
"2021-08-06 07:55","249.43","248.72","249.07","250.52"
"2021-08-06 08:00","249.21","248.44","248.8","250.4"
"2021-08-06 08:05","248.81","248.22","248.26","249.97"
"2021-08-06 08:10","248.83","248.05","248.3","250.15"
"2021-08-06 08:15","249.3","248.51","248.79","250.61"
"2021-08-06 08:20","251.27","250.49","250.75","252.57"
"2021-08-06 08:25","252.23","251.44","251.77","253.49"
"2021-08-06 08:30","252.02","251.15","251.62","253.3"
"2021-08-06 08:35","251.69","250.92","251.34","252.81"
"2021-08-06 08:40","251.15","250.39","250.71","252.36"
"2021-08-06 08:45","251.33","250.6","250.81","252.58"
"2021-08-06 08:50","251.97","251.19","251.48","253.24"
"2021-08-06 08:55","251.44","250.5","250.99","252.83"
"2021-08-06 09:00","251.5","250.57","251.03","252.9"
"2021-08-06 09:05","251.1","250.23","250.69","252.4"
"2021-08-06 09:10","250.61","249.88","250.12","251.83"
"2021-08-06 09:15","250.8","249.94","250.36","252.11"
"2021-08-06 09:20","250.8","250.03","250.41","251.97"
"2021-08-06 09:25","250.57","249.71","250.21","251.8"
"2021-08-06 09:30","250.93","250.18","250.56","252.05"
"2021-08-06 09:35","250.92","250.15","250.53","252.1"
"2021-08-06 09:40","250.74","249.89","250.33","252.0"
"2021-08-06 09:45","250.8","249.95","250.31","252.16"
"2021-08-06 09:50","250.65","249.83","250.21","251.91"
"2021-08-06 09:55","250.63","249.79","250.14","251.97"
"2021-08-06 10:00","249.82","249.0","249.4","251.07"
"2021-08-06 10:05","250.01","249.17","249.49","251.37"
"2021-08-06 10:10","250.2","249.28","249.75","251.57"
"2021-08-06 10:15","250.47","249.53","250.13","251.75"
"2021-08-06 10:20","250.93","250.11","250.41","252.29"
"2021-08-06 10:25","250.78","249.84","250.2","252.31"
"2021-08-06 10:30","250.42","249.56","249.87","251.85"
"2021-08-06 10:35","250.01","249.02","249.5","251.51"
"2021-08-06 10:40","249.98","249.09","249.38","251.49"
"2021-08-06 10:45","250.03","249.19","249.34","251.58"
"2021-08-06 10:50","250.19","249.36","249.56","251.66"
"2021-08-06 10:55","249.77","248.95","249.19","251.18"
"2021-08-06 11:00","249.62","248.75","249.17","250.94"
"2021-08-06 11:05","249.65","248.85","249.0","251.1"
"2021-08-06 11:10","249.41","248.47","248.83","250.95"
"2021-08-06 11:15","249.39","248.55","248.76","250.87"
"2021-08-06 11:20","249.64","248.7","249.02","251.22"
"2021-08-06 11:25","249.49","248.71","248.87","250.91"
"2021-08-06 11:30","251.51","250.63","251.04","252.88"
"2021-08-06 11:35","251.86","250.98","251.31","253.3"
"2021-08-06 11:40","251.35","250.41","250.88","252.76"
"2021-08-06 11:45","251.19","250.42","250.63","252.52"
"2021-08-06 11:50","251.27","250.34","250.7","252.77"
"2021-08-06 11:55","251.59","250.64","251.03","253.1"
"2021-08-06 12:00","251.27","250.33","250.8","252.69"
"2021-08-06 12:05","251.39","250.38","250.83","252.97"
"2021-08-06 12:10","250.97","250.08","250.52","252.33"
"2021-08-06 12:15","250.99","250.04","250.56","252.38"
"2021-08-06 12:20","250.86","249.98","250.39","252.21"
"2021-08-06 12:25","250.91","250.07","250.42","252.24"
"2021-08-06 12:30","250.94","250.1","250.47","252.27"
"2021-08-06 12:35","250.85","250.03","250.37","252.17"
"2021-08-06 12:40","251.14","250.16","250.62","252.66"
"2021-08-06 12:45","251.24","250.3","250.67","252.77"
"2021-08-06 12:50","251.43","250.41","250.92","252.98"
"2021-08-06 12:55","251.38","250.41","250.81","252.94"
"2021-08-06 13:00","251.48","250.72","250.9","252.82"
"2021-08-06 13:05","251.38","250.47","250.81","252.88"
"2021-08-06 13:10","251.45","250.54","250.99","252.83"
"2021-08-06 13:15","251.62","250.79","251.0","253.07"
"2021-08-06 13:20","251.99","251.1","251.41","253.46"
"2021-08-06 13:25","251.78","250.85","251.2","253.3"
"2021-08-06 13:30","251.37","250.56","250.87","252.69"
"2021-08-06 13:35","251.8","250.86","251.3","253.25"
"2021-08-06 13:40","251.25","250.36","250.69","252.7"
"2021-08-06 13:45","252.02","251.34","251.4","253.32"
"2021-08-06 13:50","252.66","251.8","252.19","253.99"
"2021-08-06 13:55","252.7","251.82","252.16","254.13"
"2021-08-06 14:00","252.64","252.04","252.11","253.78"
"2021-08-06 14:05","252.81","252.18","252.3","253.96"
"2021-08-06 14:10","250.9","250.15","250.34","252.21"
"2021-08-06 14:15","250.65","249.88","250.07","252.0"
"2021-08-06 14:20","250.82","250.16","250.2","252.1"
"2021-08-06 14:25","251.1","250.42","250.51","252.37"
"2021-08-06 14:30","251.4","250.6","250.9","252.71"
"2021-08-06 14:35","250.51","249.57","250.1","251.88"
"2021-08-06 14:40","250.13","249.13","249.75","251.52"
"2021-08-06 14:45","249.69","248.62","249.58","250.88"
"2021-08-06 14:50","250.03","248.97","249.82","251.31"
"2021-08-06 14:55","250.09","249.01","249.79","251.48"
"2021-08-06 15:00","250.13","249.04","249.87","251.5"
"2021-08-06 15:05","249.92","248.82","249.7","251.25"
