"Time stamp","Main 1   (kWh)","Main 1 L1   (kWh)","Main 1 L2   (kWh)","Main 1 L3   (kWh)"
"2021-08-12 00:00","21.58","9.42","2.07","10.09"
"2021-08-12 01:00","22.04","9.78","2.07","10.2"
"2021-08-12 02:00","14.96","7.95","1.16","5.85"
"2021-08-12 03:00","10.73","7.67","1.12","1.95"
"2021-08-12 04:00","10.37","7.44","1.08","1.86"
"2021-08-12 05:00","10.06","7.36","0.9822","1.72"
"2021-08-12 06:00","10.32","7.16","1.08","2.08"
"2021-08-12 07:00","10.03","7.16","1.31","1.57"
"2021-08-12 08:00","12.11","7.5","1.86","2.74"
"2021-08-12 09:00","11.46","7.28","1.51","2.68"
"2021-08-12 10:00","19.32","10.15","3.51","5.67"
"2021-08-12 11:00","18.16","10.19","1.85","6.12"
"2021-08-12 12:00","18.11","9.81","1.79","6.5"
"2021-08-12 13:00","17.4","9.75","1.93","5.72"
"2021-08-12 14:00","17.2","8.88","1.91","6.41"
"2021-08-12 15:00","17.79","8.89","1.96","6.94"
"2021-08-12 16:00","19.4","10.01","1.93","7.46"
"2021-08-12 17:00","20.16","10.35","1.95","7.85"
"2021-08-12 18:00","22.5","10.57","1.9","10.03"
"2021-08-12 19:00","22.58","10.41","1.97","10.2"
"2021-08-12 20:00","23.67","10.56","2.01","11.1"
"2021-08-12 21:00","23.43","10.42","2.0","11.02"
"2021-08-12 22:00","23.05","10.54","1.98","10.53"
"2021-08-12 23:00","24.13","10.9","2.01","11.22"
"2021-08-13 00:00","23.63","10.91","1.98","10.73"
"2021-08-13 01:00","22.38","9.98","1.84","10.56"
"2021-08-13 02:00","19.35","9.55","1.43","8.37"
"2021-08-13 03:00","17.41","9.36","1.13","6.92"
"2021-08-13 04:00","16.63","9.29","1.09","6.25"
"2021-08-13 05:00","16.82","9.16","1.54","6.11"
"2021-08-13 06:00","19.53","9.37","1.77","8.4"
"2021-08-13 07:00","15.88","9.2","1.07","5.62"
"2021-08-13 08:00","16.49","9.34","1.08","6.07"
"2021-08-13 09:00","15.59","9.06","1.06","5.47"
"2021-08-13 10:00","15.15","7.94","1.07","6.14"
"2021-08-13 11:00","14.5","8.26","1.06","5.17"
"2021-08-13 12:00","14.37","7.82","1.04","5.51"
"2021-08-13 13:00","14.66","7.97","1.71","4.98"
"2021-08-13 14:00","20.71","8.66","3.59","8.46"
"2021-08-13 15:00","22.84","10.79","2.0","10.05"
"2021-08-13 16:00","21.22","10.31","2.01","8.9"
"2021-08-13 17:00","21.67","10.48","1.99","9.19"
"2021-08-13 18:00","23.43","10.45","1.98","11.0"
"2021-08-13 19:00","23.24","10.28","1.92","11.05"
"2021-08-13 20:00","23.85","10.18","2.68","10.99"
"2021-08-13 21:00","25.73","10.95","3.76","11.02"
"2021-08-13 22:00","25.72","10.72","3.9","11.1"
"2021-08-13 23:00","24.61","10.62","2.72","11.27"
"2021-08-14 00:00","23.57","10.52","2.03","11.03"
"2021-08-14 01:00","23.49","10.74","2.01","10.75"
"2021-08-14 02:00","19.42","10.1","1.91","7.41"
"2021-08-14 03:00","18.84","10.27","1.89","6.68"
"2021-08-14 04:00","14.09","7.95","1.64","4.51"
"2021-08-14 05:00","7.63","3.89","1.72","2.02"
"2021-08-14 06:00","8.49","3.75","1.75","2.99"
"2021-08-14 07:00","6.92","3.86","1.31","1.75"
"2021-08-14 08:00","7.03","3.54","1.15","2.35"
"2021-08-14 09:00","6.74","3.93","1.05","1.76"
"2021-08-14 10:00","6.54","3.65","1.18","1.71"
"2021-08-14 11:00","13.75","7.31","2.34","4.1"
"2021-08-14 12:00","21.95","11.14","3.73","7.08"
"2021-08-14 13:00","24.68","11.17","3.15","10.36"
"2021-08-14 14:00","20.92","10.17","1.92","8.83"
"2021-08-14 15:00","17.55","7.63","2.53","7.39"
"2021-08-14 16:00","23.51","10.77","2.95","9.79"
"2021-08-14 17:00","22.95","10.02","2.53","10.39"
"2021-08-14 18:00","25.85","11.08","3.6","11.16"
"2021-08-14 19:00","26.38","11.26","3.87","11.25"
"2021-08-14 20:00","26.0","11.02","3.58","11.4"
"2021-08-14 21:00","26.06","10.71","3.66","11.7"
"2021-08-14 22:00","26.67","11.06","3.85","11.75"
"2021-08-14 23:00","26.97","11.36","3.83","11.77"
