"Time stamp","Main 1   (A)","Main 1 L1   (A)","Main 1 L2   (A)","Main 1 L3   (A)"
"2021-08-18 00:00","31.32","43.67","8.25","42.05"
"2021-08-18 00:05","31.51","44.28","8.22","42.02"
"2021-08-18 00:10","30.53","41.34","8.2","42.05"
"2021-08-18 00:15","29.5","38.72","8.18","41.61"
"2021-08-18 00:20","29.86","39.43","8.18","41.99"
"2021-08-18 00:25","30.38","40.53","8.2","42.4"
"2021-08-18 00:30","30.71","40.8","8.2","43.12"
"2021-08-18 00:35","27.55","40.89","8.17","33.59"
"2021-08-18 00:40","24.92","36.5","8.19","30.07"
"2021-08-18 00:45","28.39","34.51","8.23","42.44"
"2021-08-18 00:50","29.7","38.43","8.23","42.44"
"2021-08-18 00:55","31.0","42.41","8.24","42.34"
"2021-08-18 01:00","29.62","38.36","8.24","42.27"
"2021-08-18 01:05","29.1","36.69","8.22","42.39"
"2021-08-18 01:10","30.03","39.57","8.22","42.29"
"2021-08-18 01:15","30.89","41.55","8.24","42.87"
"2021-08-18 01:20","29.84","38.57","8.23","42.73"
"2021-08-18 01:25","31.25","42.86","8.21","42.69"
"2021-08-18 01:30","31.09","42.26","8.23","42.76"
"2021-08-18 01:35","31.41","43.42","8.24","42.58"
"2021-08-18 01:40","32.99","46.12","8.24","44.61"
"2021-08-18 01:45","31.5","44.11","8.24","42.14"
"2021-08-18 01:50","30.87","41.53","8.24","42.84"
"2021-08-18 01:55","31.64","43.77","8.24","42.91"
"2021-08-18 02:00","32.97","47.15","7.75","43.99"
"2021-08-18 02:05","32.42","48.11","7.7","41.46"
"2021-08-18 02:10","32.27","46.37","8.24","42.18"
"2021-08-18 02:15","29.77","40.13","6.4","42.77"
"2021-08-18 02:20","28.88","39.65","4.8","42.2"
"2021-08-18 02:25","30.26","43.91","4.26","42.62"
"2021-08-18 02:30","29.6","42.97","4.28","41.55"
"2021-08-18 02:35","26.66","42.09","4.8","33.11"
"2021-08-18 02:40","25.17","41.44","4.8","29.28"
"2021-08-18 02:45","22.95","43.32","4.61","20.91"
"2021-08-18 02:50","21.26","42.52","3.77","17.49"
"2021-08-18 02:55","21.4","41.83","4.81","17.57"
"2021-08-18 03:00","20.97","40.08","4.8","18.04"
"2021-08-18 03:05","23.92","37.95","4.71","29.1"
"2021-08-18 03:10","22.73","35.7","3.6","28.91"
"2021-08-18 03:15","22.79","34.63","4.79","28.95"
"2021-08-18 03:20","22.63","34.3","4.76","28.81"
"2021-08-18 03:25","21.74","38.78","4.59","21.85"
"2021-08-18 03:30","21.8","44.8","3.64","16.97"
"2021-08-18 03:35","20.71","41.57","3.61","16.94"
"2021-08-18 03:40","20.11","35.59","3.6","21.15"
"2021-08-18 03:45","22.37","34.51","3.6","29.0"
"2021-08-18 03:50","24.89","42.0","3.62","29.05"
"2021-08-18 03:55","25.37","43.81","3.64","28.65"
"2021-08-18 04:00","21.38","34.91","3.88","25.34"
"2021-08-18 04:05","17.67","30.75","5.0","17.26"
"2021-08-18 04:10","17.48","30.47","4.84","17.12"
"2021-08-18 04:15","18.83","31.66","4.81","20.02"
"2021-08-18 04:20","21.56","31.55","4.79","28.34"
"2021-08-18 04:25","20.92","29.59","4.76","28.41"
"2021-08-18 04:30","21.38","30.98","4.76","28.39"
"2021-08-18 04:35","20.88","29.38","4.76","28.5"
"2021-08-18 04:40","19.96","30.11","4.76","25.01"
"2021-08-18 04:45","18.13","32.54","4.64","17.2"
"2021-08-18 04:50","16.93","30.0","3.79","16.99"
"2021-08-18 04:55","17.72","30.47","4.77","17.91"
"2021-08-18 05:00","22.19","31.1","6.36","29.1"
"2021-08-18 05:05","22.33","31.06","7.37","28.57"
"2021-08-18 05:10","20.82","27.55","6.67","28.25"
"2021-08-18 05:15","20.76","26.98","7.62","27.68"
"2021-08-18 05:20","22.8","32.65","7.62","28.15"
"2021-08-18 05:25","19.75","34.64","6.82","17.78"
"2021-08-18 05:30","19.24","34.94","7.21","15.56"
"2021-08-18 05:35","17.43","28.79","7.61","15.88"
"2021-08-18 05:40","19.86","30.0","7.19","22.39"
"2021-08-18 05:45","22.34","31.97","6.83","28.21"
"2021-08-18 05:50","22.48","31.51","7.63","28.28"
"2021-08-18 05:55","22.76","32.41","7.48","28.39"
"2021-08-18 06:00","22.85","33.81","6.44","28.3"
"2021-08-18 06:05","22.28","36.7","7.59","22.55"
"2021-08-18 06:10","22.17","42.15","7.64","16.72"
"2021-08-18 06:15","21.87","42.36","6.82","16.43"
"2021-08-18 06:20","22.68","38.95","7.06","22.01"
"2021-08-18 06:25","23.3","34.51","7.61","27.79"
"2021-08-18 06:30","21.65","29.4","7.28","28.27"
"2021-08-18 06:35","23.49","33.68","6.6","30.2"
"2021-08-18 06:40","26.33","30.41","7.63","40.97"
"2021-08-18 06:45","24.54","26.98","7.62","39.01"
"2021-08-18 06:50","18.09","26.38","6.52","21.36"
"2021-08-18 06:55","18.32","30.92","7.43","16.59"
"2021-08-18 07:00","18.33","30.82","7.62","16.55"
"2021-08-18 07:05","19.81","28.1","6.98","24.36"
"2021-08-18 07:10","24.29","24.77","6.89","41.2"
"2021-08-18 07:15","26.15","30.98","7.61","39.85"
"2021-08-18 07:20","22.24","30.98","7.37","28.38"
"2021-08-18 07:25","20.82","30.74","5.01","26.7"
"2021-08-18 07:30","20.61","29.0","4.82","27.99"
"2021-08-18 07:35","20.21","31.14","4.8","24.68"
"2021-08-18 07:40","17.4","31.61","3.8","16.79"
"2021-08-18 07:45","19.01","35.8","4.52","16.71"
