"Time stamp","Main 1   (kWh)","LCC Oxford Circus temperatures (℃)"
"2021-08-21 00:00","25.17","16.97"
"2021-08-21 01:00","22.78","16.6"
"2021-08-21 02:00","15.95","16.23"
"2021-08-21 03:00","8.57","16.03"
"2021-08-21 04:00","7.19","15.79"
"2021-08-21 05:00","8.23","15.6"
"2021-08-21 06:00","8.61","15.51"
"2021-08-21 07:00","8.61","15.7"
"2021-08-21 08:00","7.54","16.39"
"2021-08-21 09:00","7.39","17.39"
"2021-08-21 10:00","7.0","18.39"
"2021-08-21 11:00","10.93","18.62"
"2021-08-21 12:00","25.38","18.64"
"2021-08-21 13:00","23.93","18.98"
"2021-08-21 14:00","24.63","19.17"
"2021-08-21 15:00","24.76","19.98"
"2021-08-21 16:00","25.35","20.06"
"2021-08-21 17:00","25.0","20.21"
"2021-08-21 18:00","25.64","20.08"
"2021-08-21 19:00","25.39","19.06"
"2021-08-21 20:00","26.2","17.87"
"2021-08-21 21:00","26.0","17.12"
"2021-08-21 22:00","26.75","16.74"
"2021-08-21 23:00","26.09","16.27"
"2021-08-22 00:00","26.57","16.25"
"2021-08-22 01:00","26.6","16.44"
"2021-08-22 02:00","24.59","16.6"
"2021-08-22 03:00","23.79","16.64"
"2021-08-22 04:00","19.4","16.49"
"2021-08-22 05:00","7.28","15.75"
"2021-08-22 06:00","7.76","15.51"
"2021-08-22 07:00","8.32","15.39"
"2021-08-22 08:00","6.79","16.12"
"2021-08-22 09:00","6.34","17.12"
"2021-08-22 10:00","7.09","18.19"
"2021-08-22 11:00","6.8","19.54"
"2021-08-22 12:00","7.17","20.27"
"2021-08-22 13:00","12.56","20.72"
"2021-08-22 14:00","22.79","20.97"
"2021-08-22 15:00","23.46","21.43"
"2021-08-22 16:00","20.27","21.79"
"2021-08-22 17:00","18.18","21.12"
"2021-08-22 18:00","21.39","19.28"
"2021-08-22 19:00","21.31","18.34"
"2021-08-22 20:00","19.97","17.9"
"2021-08-22 21:00","20.17","17.79"
"2021-08-22 22:00","19.72","17.49"
"2021-08-22 23:00","17.62","17.42"
"2021-08-23 00:00","19.88","17.3"
"2021-08-23 01:00","21.55","16.83"
"2021-08-23 02:00","14.95","16.29"
"2021-08-23 03:00","6.54","15.79"
"2021-08-23 04:00","6.99","15.55"
"2021-08-23 05:00","6.89","15.56"
